,Diff_Kd,Diff_Str,Diff_Td,Diff_Sub,Diff_Head,Diff_Body,Diff_Leg,Diff_Distance,Diff_Clinch,Diff_Ground,Diff_Ctrl,Fighter_1_W
0,0,-2,-4,-1,0,3,-5,11,1,-14,-432,0
1,0,-18,-3,1,-4,-2,-12,-9,-4,-5,-286,0
2,0,7,1,0,10,8,-11,0,3,4,-218,0
3,0,2,-2,0,6,-4,0,12,-6,-4,-238,0
4,-1,-27,1,0,16,18,-7,23,11,-7,-262,1
5,0,-48,3,0,5,16,27,39,10,-1,-404,1
6,0,14,-2,0,55,-75,34,14,-10,10,52,0
7,0,17,0,-1,14,-2,5,9,9,-1,-338,0
8,0,-10,-3,-1,26,4,-20,-2,5,7,106,1
9,0,-3,-1,0,-1,5,-1,-6,9,0,93,1
10,1,-4,1,0,-24,-3,23,2,1,-7,-445,0
11,0,-72,2,0,19,0,53,72,0,0,-43,1
12,0,-15,-1,0,-10,3,-8,-24,9,0,6,0
13,0,-28,-1,0,-12,-14,-2,-18,1,-11,-128,0
14,-1,-35,-1,0,-21,12,-26,-33,-2,0,28,0
15,0,-42,1,0,37,9,-4,38,4,0,82,1
16,0,3,5,0,-6,6,-3,0,6,-9,-568,1
17,-1,-37,2,3,19,6,12,21,1,15,69,1
18,0,2,0,0,-14,4,12,1,1,0,-22,0
19,0,-5,-5,-1,0,4,1,1,-1,5,322,1
20,0,-10,0,2,-12,3,-1,-18,3,5,-44,0
21,0,2,-1,2,5,5,-12,3,-6,1,134,1
22,0,-8,0,0,21,-6,-7,17,-10,1,40,1
23,0,-9,-3,1,-28,-8,27,5,-1,-13,-237,0
24,-1,-4,3,0,-7,6,5,-16,25,-5,-358,1
25,0,22,0,0,13,-3,12,25,-3,0,0,0
26,0,-10,0,0,-1,-2,-7,-15,5,0,7,0
27,0,-26,2,0,20,-9,15,33,-7,0,-154,1
28,0,-73,-3,0,47,20,6,30,8,35,616,1
29,-1,-43,0,0,-63,-7,27,-27,-11,-5,-14,0
30,-1,-13,-1,0,24,-4,-7,-2,2,13,37,1
31,0,-5,0,0,1,-9,13,5,0,0,0,1
32,0,-23,0,0,35,20,-32,24,-1,0,-20,1
33,0,9,-1,0,-12,15,6,-8,17,0,-560,0
34,0,2,0,0,7,0,-9,-6,3,1,-1,1
35,0,-36,2,0,31,5,0,32,4,0,-368,1
36,0,-21,-6,0,23,0,-2,-25,27,19,362,1
37,0,-22,5,1,6,9,7,3,19,0,-391,1
38,0,-87,0,0,-18,-12,-57,-77,-10,0,-4,0
39,0,-32,-1,0,5,-2,29,40,1,-9,-23,1
40,0,-3,0,0,0,-3,6,3,0,0,0,1
41,0,-21,-4,-2,7,6,8,12,0,9,566,1
42,0,-6,0,0,9,9,-12,-3,8,1,479,1
43,-1,37,0,0,18,-11,-44,-36,-2,1,7,1
44,0,-26,-1,0,9,2,15,21,2,3,227,1
45,-1,-139,-6,2,87,34,18,27,16,96,933,1
46,0,-64,-2,0,-22,-9,-33,-59,-2,-3,-82,0
47,0,11,2,-1,0,1,10,1,13,-3,-64,0
48,0,-28,0,0,56,-11,-17,27,1,0,0,1
49,0,-33,0,0,9,-3,-39,-33,0,0,81,0
50,0,4,0,0,-14,3,7,-7,3,0,0,1
51,-1,19,-1,0,-26,6,1,-14,-7,2,12,1
52,0,-27,0,0,-22,-6,1,-27,0,0,0,0
53,0,-6,-6,1,6,-2,2,22,-18,2,487,1
54,0,18,-1,0,0,-2,-16,-20,2,0,-105,1
55,0,-14,-2,0,8,0,6,12,-2,4,273,1
56,0,-17,2,-2,7,4,6,11,3,3,254,1
