,Fighter,Head,Body,Leg,Distance,Clinch,Ground,Event
0,Islam Makhachev Alexander Volkanovski,13 of 16  0 of 1,9 of 11  1 of 1,2 of 2  3 of 4,7 of 11  3 of 5,8 of 9  1 of 1,9 of 9  0 of 0,UFC 294: Makhachev vs. Volkanovski 2
1,Kamaru Usman Khamzat Chimaev,27 of 52  27 of 53,6 of 10  3 of 9,3 of 4  8 of 8,33 of 63  22 of 53,1 of 1  0 of 0,2 of 2  16 of 17,UFC 294: Makhachev vs. Volkanovski 2
2,Magomed Ankalaev Johnny Walker,7 of 13  4 of 15,3 of 3  1 of 2,3 of 3  9 of 10,7 of 11  14 of 27,1 of 1  0 of 0,5 of 7  0 of 0,UFC 294: Makhachev vs. Volkanovski 2
3,Magomed Ankalaev Johnny Walker,7 of 13  4 of 15,3 of 3  1 of 2,3 of 3  9 of 10,7 of 11  14 of 27,1 of 1  0 of 0,5 of 7  0 of 0,UFC 294: Makhachev vs. Volkanovski 2
4,Ikram Aliskerov Warlley Alves,20 of 29  3 of 6,6 of 6  1 of 1,0 of 1  8 of 9,26 of 36  12 of 16,0 of 0  0 of 0,0 of 0  0 of 0,UFC 294: Makhachev vs. Volkanovski 2
5,Said Nurmagomedov Muin Gafurov,2 of 7  0 of 2,2 of 2  0 of 0,1 of 2  1 of 1,5 of 11  1 of 3,0 of 0  0 of 0,0 of 0  0 of 0,UFC 294: Makhachev vs. Volkanovski 2
6,Tim Elliott Muhammad Mokaev,19 of 30  8 of 21,10 of 12  3 of 8,1 of 1  3 of 4,14 of 27  10 of 29,8 of 8  1 of 1,8 of 8  3 of 3,UFC 294: Makhachev vs. Volkanovski 2
7,Mohammad Yahya Trevor Peek,28 of 70  32 of 61,14 of 21  16 of 23,1 of 1  13 of 13,41 of 90  50 of 83,2 of 2  6 of 9,0 of 0  5 of 5,UFC 294: Makhachev vs. Volkanovski 2
8,Javid Basharat Victor Henry,8 of 21  3 of 10,8 of 8  6 of 6,14 of 14  16 of 20,26 of 39  23 of 34,4 of 4  2 of 2,0 of 0  0 of 0,UFC 294: Makhachev vs. Volkanovski 2
9,Javid Basharat Victor Henry,8 of 21  3 of 10,8 of 8  6 of 6,14 of 14  16 of 20,26 of 39  23 of 34,4 of 4  2 of 2,0 of 0  0 of 0,UFC 294: Makhachev vs. Volkanovski 2
10,Abu Azaitar Sedriques Dumas,21 of 78  11 of 45,13 of 18  5 of 11,7 of 10  18 of 23,31 of 90  31 of 76,3 of 6  0 of 0,7 of 10  3 of 3,UFC 294: Makhachev vs. Volkanovski 2
11,Mike Breeden Anshul Jubli,75 of 157  63 of 145,11 of 13  27 of 36,6 of 7  13 of 13,89 of 174  97 of 181,2 of 2  6 of 13,1 of 1  0 of 0,UFC 294: Makhachev vs. Volkanovski 2
12,Nathaniel Wood Muhammad Naimov,37 of 57  31 of 60,6 of 7  10 of 13,7 of 8  7 of 8,36 of 56  24 of 48,5 of 6  11 of 14,9 of 10  13 of 19,UFC 294: Makhachev vs. Volkanovski 2
13,Viktoriia Dudakova Jinh Yu Frey,47 of 115  31 of 80,26 of 30  8 of 13,1 of 1  8 of 8,60 of 131  37 of 89,14 of 15  3 of 4,0 of 0  7 of 8,UFC 294: Makhachev vs. Volkanovski 2
14,Shara Magomedov Bruno Silva,56 of 92  51 of 76,22 of 24  6 of 7,35 of 38  8 of 8,74 of 106  35 of 56,15 of 21  5 of 5,24 of 27  25 of 30,UFC 294: Makhachev vs. Volkanovski 2
15,Sodiq Yusuff Edson Barboza,126 of 284  71 of 204,14 of 20  89 of 112,38 of 47  4 of 8,148 of 311  134 of 290,15 of 18  25 of 27,15 of 22  5 of 7,UFC Fight Night: Yusuff vs. Barboza
16,Jennifer Maia Viviane Araujo,29 of 87  15 of 36,2 of 4  4 of 5,10 of 10  5 of 5,31 of 88  22 of 43,10 of 13  1 of 2,0 of 0  1 of 1,UFC Fight Night: Yusuff vs. Barboza
17,Jonathan Martinez Adrian Yanez,7 of 15  9 of 59,0 of 2  10 of 12,29 of 41  1 of 1,36 of 58  17 of 66,0 of 0  3 of 6,0 of 0  0 of 0,UFC Fight Night: Yusuff vs. Barboza
18,Andre Petroski Michel Pereira,0 of 1  5 of 17,0 of 0  1 of 1,0 of 0  0 of 0,0 of 1  2 of 6,0 of 0  0 of 0,0 of 0  4 of 12,UFC Fight Night: Yusuff vs. Barboza
19,Christian Rodriguez Cameron Saaiman,64 of 141  38 of 121,18 of 19  14 of 21,1 of 1  21 of 33,63 of 131  65 of 160,13 of 21  8 of 15,7 of 9  0 of 0,UFC Fight Night: Yusuff vs. Barboza
20,Darren Elkins TJ Brown,8 of 29  11 of 45,3 of 3  1 of 2,0 of 1  3 of 3,11 of 32  15 of 49,0 of 1  0 of 0,0 of 0  0 of 1,UFC Fight Night: Yusuff vs. Barboza
21,Tainara Lisboa Ravena Oliveira,9 of 24  10 of 23,8 of 9  3 of 6,1 of 2  2 of 2,7 of 20  13 of 28,11 of 12  2 of 3,0 of 3  0 of 0,UFC Fight Night: Yusuff vs. Barboza
22,Terrance McKinney Brendon Marotte,14 of 21  0 of 0,0 of 0  0 of 0,0 of 0  1 of 1,0 of 1  1 of 1,1 of 1  0 of 0,13 of 19  0 of 0,UFC Fight Night: Yusuff vs. Barboza
23,Irina Alekseeva Melissa Dixon,23 of 72  47 of 89,2 of 7  5 of 6,23 of 29  0 of 0,44 of 99  42 of 76,2 of 4  1 of 1,2 of 5  9 of 18,UFC Fight Night: Yusuff vs. Barboza
24,Chris Gutierrez Alatengheili,44 of 96  25 of 108,10 of 20  10 of 21,56 of 81  3 of 4,110 of 195  38 of 130,0 of 2  0 of 2,0 of 0  0 of 1,UFC Fight Night: Yusuff vs. Barboza
25,Ashley Yoder Emily Ducote,59 of 216  69 of 145,32 of 40  29 of 40,11 of 13  19 of 25,93 of 259  117 of 209,9 of 10  0 of 1,0 of 0  0 of 0,UFC Fight Night: Yusuff vs. Barboza
26,Grant Dawson Bobby Green,0 of 6  7 of 10,0 of 0  0 of 0,0 of 0  0 of 1,0 of 6  1 of 4,0 of 0  0 of 0,0 of 0  6 of 7,UFC Fight Night: Dawson vs. Green
27,Joe Pyfer Abdul Razak Alhassan,15 of 47  4 of 15,9 of 12  2 of 3,2 of 3  5 of 10,24 of 60  11 of 27,2 of 2  0 of 1,0 of 0  0 of 0,UFC Fight Night: Dawson vs. Green
28,Alex Morono Joaquin Buckley,29 of 122  41 of 134,10 of 17  24 of 36,1 of 2  3 of 6,37 of 133  55 of 141,3 of 8  2 of 9,0 of 0  11 of 26,UFC Fight Night: Dawson vs. Green
29,Drew Dober Ricky Glenn,19 of 40  2 of 15,7 of 9  3 of 7,4 of 4  0 of 0,20 of 38  5 of 22,2 of 3  0 of 0,8 of 12  0 of 0,UFC Fight Night: Dawson vs. Green
