,W/L,Fighter,Kd,Str,Td,Sub,Weight class,Method,Round,Time,Event
0,win,Islam Makhachev  Alexander Volkanovski,1  0,24  4,0  0,0  0,Lightweight,KO/TKO  Kick,1,3:06,UFC 294: Makhachev vs. Volkanovski 2
1,win,Khamzat Chimaev  Kamaru Usman,0  0,38  36,4  0,1  0,Middleweight,M-DEC,3,5:00,UFC 294: Makhachev vs. Volkanovski 2
2,nc nc,Magomed Ankalaev  Johnny Walker,0  0,13  14,1  0,0  0,Light Heavyweight,CNC,1,3:13,UFC 294: Makhachev vs. Volkanovski 2
3,win,Ikram Aliskerov  Warlley Alves,1  0,26  12,0  0,0  0,Middleweight,KO/TKO  Punches,1,2:07,UFC 294: Makhachev vs. Volkanovski 2
4,win,Said Nurmagomedov  Muin Gafurov,0  0,5  1,0  0,1  0,Bantamweight,SUB  Guillotine Choke,1,1:13,UFC 294: Makhachev vs. Volkanovski 2
5,win,Muhammad Mokaev  Tim Elliott,0  0,14  30,3  1,1  2,Flyweight,SUB  Arm Triangle,3,3:03,UFC 294: Makhachev vs. Volkanovski 2
6,win,Trevor Peek  Mohammad Yahya,0  0,61  43,4  1,0  1,Lightweight,U-DEC,3,5:00,UFC 294: Makhachev vs. Volkanovski 2
7,nc nc,Javid Basharat  Victor Henry,0  0,30  25,1  0,0  0,Bantamweight,CNC,2,0:15,UFC 294: Makhachev vs. Volkanovski 2
8,win,Sedriques Dumas  Abu Azaitar,0  0,34  41,1  2,0  0,Middleweight,U-DEC,3,5:00,UFC 294: Makhachev vs. Volkanovski 2
9,win,Mike Breeden  Anshul Jubli,1  0,92  103,0  0,0  0,Lightweight,KO/TKO  Punch,3,3:00,UFC 294: Makhachev vs. Volkanovski 2
10,win,Muhammad Naimov  Nathaniel Wood,0  0,48  50,4  2,0  0,Featherweight,U-DEC,3,5:00,UFC 294: Makhachev vs. Volkanovski 2
11,win,Viktoriia Dudakova  Jinh Yu Frey,1  0,74  47,0  1,0  0,Women's Strawweight,U-DEC,3,5:00,UFC 294: Makhachev vs. Volkanovski 2
12,win,Shara Magomedov  Bruno Silva,0  0,113  65,0  3,0  0,Middleweight,U-DEC,3,5:00,UFC 294: Makhachev vs. Volkanovski 2
13,win,Edson Barboza  Sodiq Yusuff,1  1,164  178,3  1,0  0,Featherweight,U-DEC,5,5:00,UFC Fight Night: Yusuff vs. Barboza
14,win,Viviane Araujo  Jennifer Maia,0  0,24  41,2  2,1  0,Women's Flyweight,U-DEC,3,5:00,UFC Fight Night: Yusuff vs. Barboza
15,win,Jonathan Martinez  Adrian Yanez,2  0,36  20,0  0,0  0,Bantamweight,KO/TKO  Kicks,2,2:26,UFC Fight Night: Yusuff vs. Barboza
16,win,Michel Pereira  Andre Petroski,1  0,6  0,0  0,0  0,Middleweight,KO/TKO  Punch,1,1:06,UFC Fight Night: Yusuff vs. Barboza
17,win,Christian Rodriguez  Cameron Saaiman,0  0,83  73,3  0,2  1,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Yusuff vs. Barboza
18,win,Darren Elkins  TJ Brown,0  0,11  15,5  2,2  0,Featherweight,SUB  Rear Naked Choke,3,2:23,UFC Fight Night: Yusuff vs. Barboza
19,win,Tainara Lisboa  Ravena Oliveira,0  0,18  15,3  2,0  0,Women's Bantamweight,U-DEC,3,5:00,UFC Fight Night: Yusuff vs. Barboza
20,win,Terrance McKinney  Brendon Marotte,1  0,14  1,0  0,0  0,Lightweight,KO/TKO  Knee,1,0:20,UFC Fight Night: Yusuff vs. Barboza
21,win,Melissa Dixon  Irina Alekseeva,0  1,52  48,0  1,0  0,Women's Bantamweight,U-DEC,3,5:00,UFC Fight Night: Yusuff vs. Barboza
22,win,Chris Gutierrez  Alatengheili,0  0,110  38,0  2,0  0,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Yusuff vs. Barboza
23,win,Emily Ducote  Ashley Yoder,0  0,117  102,1  0,0  0,Women's Strawweight,U-DEC,3,5:00,UFC Fight Night: Yusuff vs. Barboza
24,win,Bobby Green  Grant Dawson,1  0,7  0,0  0,0  0,Lightweight,KO/TKO  Punch,1,0:33,UFC Fight Night: Dawson vs. Green
25,win,Joe Pyfer  Abdul Razak Alhassan,0  0,26  11,3  0,2  1,Middleweight,SUB  Arm Triangle,2,2:05,UFC Fight Night: Dawson vs. Green
26,win,Joaquin Buckley  Alex Morono,0  0,68  40,2  1,0  0,Welterweight,U-DEC,3,5:00,UFC Fight Night: Dawson vs. Green
27,win,Drew Dober  Ricky Glenn,1  0,30  5,0  0,0  0,Lightweight,KO/TKO  Punches,1,2:36,UFC Fight Night: Dawson vs. Green
28,win,Bill Algeo  Alexander Hernandez,1  0,110  75,1  0,0  0,Featherweight,U-DEC,3,5:00,UFC Fight Night: Dawson vs. Green
29,win,Karolina Kowalkiewicz  Diana Belbita,0  0,141  99,1  2,0  0,Women's Strawweight,U-DEC,3,5:00,UFC Fight Night: Dawson vs. Green
30,win,Nate Maness  Mateus Mendonca,0  0,29  3,0  0,0  0,Flyweight,KO/TKO  Punches,1,4:40,UFC Fight Night: Dawson vs. Green
31,win,Vanessa Demopoulos  Kanako Murata,0  0,31  34,0  5,0  0,Women's Strawweight,U-DEC,3,5:00,UFC Fight Night: Dawson vs. Green
32,win,Aoriqileng  Johnny Munoz,1  0,44  7,2  4,0  3,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Dawson vs. Green
33,win,JJ Aldrich  Montana De La Rosa,0  0,65  67,0  0,0  0,Women's Flyweight,U-DEC,3,5:00,UFC Fight Night: Dawson vs. Green
34,win,Mateusz Gamrot  Rafael Fiziev,0  0,16  18,1  0,0  0,Lightweight,KO/TKO,2,2:03,UFC Fight Night: Fiziev vs. Gamrot
35,win,Bryce Mitchell  Dan Ige,0  0,23  18,5  0,1  0,Featherweight,U-DEC,3,5:00,UFC Fight Night: Fiziev vs. Gamrot
36,win,Marina Rodriguez  Michelle Waterson-Gomez,0  0,70  13,1  1,0  0,Women's Strawweight,KO/TKO  Punches,2,2:42,UFC Fight Night: Fiziev vs. Gamrot
37,win,Bryan Battle  AJ Fletcher,0  0,45  25,1  0,1  0,Welterweight,SUB  Rear Naked Choke,2,4:32,UFC Fight Night: Fiziev vs. Gamrot
38,win,Charles Jourdain  Ricardo Ramos,0  0,8  0,0  2,1  1,Featherweight,SUB  Guillotine Choke,1,3:12,UFC Fight Night: Fiziev vs. Gamrot
39,win,Miles Johns  Dan Argueta,0  0,43  33,2  2,0  2,Bantamweight,U-DEC,3,5:00,UFC Fight Night: Fiziev vs. Gamrot
40,win,Tim Means  Andre Fialho,2  0,104  51,0  1,0  0,Welterweight,KO/TKO  Punches,3,1:15,UFC Fight Night: Fiziev vs. Gamrot
41,win,Cody Brundage  Jacob Malkoun,0  0,2  28,1  1,0  0,Middleweight,DQ,1,4:15,UFC Fight Night: Fiziev vs. Gamrot
42,win,Mohammed Usman  Jake Collier,0  0,85  87,1  0,0  2,Heavyweight,U-DEC,3,5:00,UFC Fight Night: Fiziev vs. Gamrot
43,win,Mizuki  Hannah Goldy,0  0,55  47,1  1,0  0,Women's Strawweight,U-DEC,3,5:00,UFC Fight Night: Fiziev vs. Gamrot
44,win,Montserrat Rendon  Tamires Vidal,0  0,69  60,3  0,0  1,Women's Bantamweight,S-DEC,3,5:00,UFC Fight Night: Fiziev vs. Gamrot
45,draw draw,Alexa Grasso  Valentina Shevchenko,1  0,84  80,1  4,1  1,Women's Flyweight,S-DEC,5,5:00,UFC Fight Night: Grasso vs. Shevchenko 2
46,win,Jack Della Maddalena  Kevin Holland,0  0,105  127,0  0,0  0,Welterweight,S-DEC,3,5:00,UFC Fight Night: Grasso vs. Shevchenko 2
47,win,Raul Rosas Jr.  Terrence Mitchell,1  0,18  6,0  0,0  0,Bantamweight,KO/TKO  Punches,1,0:54,UFC Fight Night: Grasso vs. Shevchenko 2
48,win,Daniel Zellhuber  Christos Giagos,0  0,36  38,0  0,1  0,Lightweight,SUB  Anaconda Choke,2,3:26,UFC Fight Night: Grasso vs. Shevchenko 2
49,win,Kyle Nelson  Fernando Padilla,0  0,82  72,0  0,0  0,Featherweight,U-DEC,3,5:00,UFC Fight Night: Grasso vs. Shevchenko 2
50,win,Loopy Godinez  Elise Reed,1  0,21  3,5  0,6  0,Women's Strawweight,SUB  Rear Naked Choke,2,3:38,UFC Fight Night: Grasso vs. Shevchenko 2
51,win,Roman Kopylov  Josh Fremd,1  0,49  38,0  0,0  0,Middleweight,KO/TKO  Punch,2,4:44,UFC Fight Night: Grasso vs. Shevchenko 2
52,nc nc,Edgar Chairez  Daniel Lacerda,0  0,12  4,0  1,1  0,Flyweight,Overturned,1,3:47,UFC Fight Night: Grasso vs. Shevchenko 2
53,win,Tracy Cortez  Jasmine Jasudavicius,0  0,103  77,0  2,0  0,Women's Flyweight,U-DEC,3,5:00,UFC Fight Night: Grasso vs. Shevchenko 2
54,win,Charlie Campbell  Alex Reyes,1  0,43  14,0  0,0  0,Lightweight,KO/TKO  Punches,1,3:38,UFC Fight Night: Grasso vs. Shevchenko 2
55,win,Josefine Knutsson  Marnic Mann,0  0,81  8,3  0,0  0,Women's Strawweight,U-DEC,3,5:00,UFC Fight Night: Grasso vs. Shevchenko 2
56,win,Sean Strickland  Israel Adesanya,1  0,137  94,0  0,0  0,Middleweight,U-DEC,5,5:00,UFC 293: Adesanya vs. Strickland
57,win,Alexander Volkov  Tai Tuivasa,1  0,93  28,0  0,1  0,Heavyweight,SUB  Ezekiel Choke,2,4:37,UFC 293: Adesanya vs. Strickland
58,win,Manel Kape  Felipe dos Santos,1  0,112  99,1  0,0  0,Flyweight,U-DEC,3,5:00,UFC 293: Adesanya vs. Strickland
59,win,Justin Tafa  Austen Lane,1  0,11  7,0  0,0  0,Heavyweight,KO/TKO  Punch,1,1:22,UFC 293: Adesanya vs. Strickland
60,win,Tyson Pedro  Anton Turkalj,1  0,16  8,0  0,0  0,Light Heavyweight,KO/TKO  Punch,1,2:12,UFC 293: Adesanya vs. Strickland
61,win,Carlos Ulberg  Da Woon Jung,1  0,81  58,1  1,1  0,Light Heavyweight,SUB  Rear Naked Choke,3,4:49,UFC 293: Adesanya vs. Strickland
